id_cliente,nome,cognome,data_nascita
0,Giada,Romano,1958-07-12
1,Stefano,Rossi,1967-09-30
2,Giada,Bruno,1972-03-01
3,Simone,Russo,1963-07-19
4,Maria,Gallo,1986-09-16
5,Simona,Mancini,1988-11-02
6,Stefano,Barbieri,1966-02-11
7,Luigi,Conti,1986-11-01
8,Stefania,Ferrari,1998-02-06
9,Stefania,Lombardi,1960-05-30
10,Mario,Barbieri,1962-07-03
11,Luigi,Bianchi,1994-02-01
12,Stefano,Martinelli,1995-11-01
13,Stefano,Conti,1958-09-13
14,Stefania,Colombo,1995-05-20
15,Mario,Romano,1966-10-17
16,Simone,Barbieri,1989-12-01
17,Stefania,Bianchi,1966-02-07
18,Simona,Fontana,1969-04-10
19,Giada,Bianchi,1979-02-04
20,Alberto,Giordano,1995-11-14
21,Giada,Lombardi,1972-03-04
22,Simone,Ferrari,1996-03-04
23,Alberto,Giordano,1978-07-27
24,Maria,Lombardi,1979-11-08
25,Giada,Colombo,1999-02-01
26,Stefania,Russo,1972-03-05
27,Mario,Gallo,1969-06-14
28,Giada,Gallo,1977-12-30
29,Giada,De Luca,1998-06-19
30,Giada,De Luca,1961-03-26
31,Stefano,Mancini,1988-11-02
32,Alberto,Russo,1976-03-15
33,Mario,Greco,1979-09-10
34,Alberto,Mancini,1985-05-16
35,Simona,Fontana,1992-06-27
36,Stefano,Fontana,1958-02-12
37,Giada,Bruno,1969-07-09
38,Maria,Longo,1981-12-06
39,Stefano,Lombardi,1978-12-16
40,Maria,Costa,1984-01-05
41,Alberto,Fontana,1957-12-16
42,Alberto,Giordano,1994-11-22
43,Simona,Bruno,1968-07-13
44,Simone,Cassano,1965-04-10
45,Simone,Lombardi,1973-05-25
46,Luigi,Esposito,1976-11-24
47,Stefania,Marino,1965-03-24
48,Simona,Mancini,1960-08-25
49,Mario,Esposito,1983-04-18
50,Simona,Giordano,1959-02-16
51,Stefania,Rossi,1988-07-24
52,Mario,Esposito,1969-06-15
53,Mario,Bruno,1969-06-06
54,Stefano,Lombardi,1958-01-09
55,Giada,Esposito,1980-11-10
56,Luigi,Rossi,1997-12-27
57,Stefano,Longo,1997-02-20
58,Maria,Barbieri,1970-07-22
59,Alberto,Ricci,1961-11-16
60,Giada,Romano,1962-11-14
61,Simone,Martinelli,1970-02-27
62,Simona,Colombo,1965-09-27
63,Simona,Bianchi,1966-11-01
64,Luigi,Cassano,1983-04-13
65,Simona,Conti,1991-02-11
66,Simona,Martinelli,1989-02-24
67,Giada,Marino,1973-01-16
68,Simona,Leone,1997-11-29
69,Simona,Rossi,1974-09-03
70,Stefania,Cassano,1984-06-14
71,Simona,Conti,1962-01-03
72,Giada,Fontana,1979-07-10
73,Stefano,Leone,1993-01-18
74,Simone,Moretti,1992-09-04
75,Simone,Lombardi,1992-07-28
76,Alberto,Martinelli,1971-03-11
77,Mario,Colombo,1961-12-08
78,Simone,Leone,1990-03-08
